Designator,Mid X,Mid Y
JM601,83.56601mm,59.182mm
JM602,83.56601mm,53.086mm
JM603,83.56601mm,46.99mm
JM604,83.56601mm,40.894mm
JM701,55.11801mm,102.108mm
JM702,55.11801mm,95.758mm
JM703,55.11801mm,89.662mm
JM704,55.11801mm,83.312mm
JP102A,129.57001mm,243.77mm
UA115,142.09035mm,177.6491mm
RA151,146.04675mm,172.85669mm
RA152,146.02135mm,175.42209mm
UA215,77.84141mm,177.64911mm
RA251,81.79781mm,172.8567mm
RA252,81.77241mm,175.4221mm
UA415,99.61395mm,227.24772mm
RA451,95.65755mm,232.04013mm
RA452,95.68295mm,229.47473mm
UA515,187.91395mm,244.73232mm
RA551,183.95755mm,249.52473mm
RA552,183.98295mm,246.95933mm
RA912,147.5259mm,217.14311mm
CA925,146.421mm,219.84821mm
CA926,148.199mm,219.84821mm
CA920,149.34365mm,200.26481mm
RA905,156.48924mm,203.41893mm
CA910,147.62611mm,214.1854mm
LA901,153.58669mm,210.79859mm
CA911,146.2139mm,212.81915mm
CA919,150.32051mm,203.60875mm
CA901,151.02732mm,212.87302mm
CA918,151.74291mm,204.95495mm
CA913,143.35818mm,209.96342mm
CA912,144.63337mm,211.49007mm
LA905,143.13822mm,207.20194mm
CA908,145.711mm,205.43737mm
LA909,140.22407mm,208.57148mm
LA908,138.0564mm,210.95622mm
CA903,153.14234mm,206.33402mm
CA935,106.39454mm,244.91593mm
CA932,109.73207mm,244.55834mm
RA916,112.89031mm,244.2596mm
CA933,109.78287mm,241.00234mm
RA917,112.91571mm,241.0592mm
CA934,106.36914mm,241.00433mm
CA931,155.35772mm,202.31288mm
CA846,156.05761mm,99.9363mm
C907,100.86521mm,109.188mm
C908,101.24621mm,116.5032mm
C912,100.94141mm,111.4486mm
C913,101.04301mm,114.0902mm
C909,88.74941mm,109.7722mm
C914,88.87641mm,112.4392mm
C901,103.28201mm,95.54398mm
C904,106.30461mm,98.03318mm
C903,101.14841mm,95.49318mm
C902,102.16441mm,102.70678mm
C905,104.70441mm,102.24958mm
C906,99.80221mm,99.04918mm
C910,108.12121mm,101.6236mm
R901,104.01481mm,85.7565mm
R902,105.99601mm,85.7565mm
R903,107.97721mm,85.7565mm
